"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"195974","45740","3","0","601.465","282.937","104.726"
"195977","45740","1","0","601.465","282.937","106.742"
"195978","45740","3","1","105.465","284.937","107.358"
"195983","45740","1","1","105.465","284.937","114.838"
"195984","45740","3","0","665.465","112.937","115.222"
"195987","45740","1","0","665.465","112.937","124.835"
"195988","45740","3","1","263.465","116.937","125.585"
"195920","45741","1","0","664.565","310.935","34.9535"
"195921","45741","2","1","203.565","284.935","35.3354"
"195922","45741","3","0","498.495","242.058","35.6693"
"195923","45741","1","0","498.495","242.058","36.6691"
"195924","45741","3","0","670.495","297.058","38.2347"
"195943","45741","1","0","670.495","297.058","60.9751"
"195944","45741","3","0","554.495","363.058","61.425"
"195951","45741","1","0","554.495","363.058","65.9739"
"195952","45741","3","0","511.495","370.058","66.2918"
"195959","45741","1","0","511.495","370.058","73.0222"
"195960","45741","3","1","211.495","366.058","73.3541"
"195893","45742","1","0","532.266","252.347","6.11456"
"195894","45742","3","1","129.266","295.347","6.66443"
"195911","45742","1","1","129.266","295.347","24.9739"
"195912","45742","2","0","873.266","109.347","25.3558"
"195913","45742","3","0","844.648","126.282","25.4058"
"195939","45742","1","0","844.648","126.282","57.1121"
"195940","45742","3","0","522.648","111.282","57.9598"
"195941","45742","1","0","522.648","111.282","59.6774"
"195942","45742","3","0","518.648","221.282","60.5432"
"195963","45742","1","0","518.648","221.282","74.8877"
"195964","45742","3","1","321.648","261.282","75.1876"
"195979","45742","1","1","321.648","261.282","112.241"
"195980","45742","3","0","567.648","335.282","112.656"
"195997","45743","1","0","522.619","117.456","6.71234"
"195998","45743","3","1","114.619","205.456","7.56213"
"196019","45743","1","1","114.619","205.456","43.8812"
"196020","45743","3","1","66.6187","251.456","45.8647"
"196025","45743","1","1","66.6187","251.456","52.5631"
"196026","45743","3","0","569.619","74.4564","53.3609"
"196029","45743","1","0","569.619","74.4564","55.8263"
"196030","45743","3","1","185.619","362.456","57.3599"
"196063","45743","1","1","185.619","362.456","94.6948"
"196064","45743","3","0","667.619","293.456","95.0127"
"196069","45743","1","0","667.619","293.456","98.7618"
"196070","45743","3","0","774.619","268.456","99.0437"
"196013","45744","1","0","514.116","252.456","29.1549"
"196014","45744","3","1","155.116","354.456","29.6707"
"196017","45744","1","1","155.116","354.456","41.6498"
"196018","45744","3","0","506.116","238.456","42.8335"
"196021","45744","1","0","506.116","238.456","48.5981"
"196022","45744","3","1","260.116","367.456","49.3799"
"196023","45744","1","1","260.116","367.456","50.7955"
"196024","45744","3","0","519.116","243.456","51.3134"
"196037","45744","1","0","519.116","243.456","62.0088"
"196038","45744","3","1","307.116","248.456","62.4247"
"195999","45745","1","0","503.696","63.7235","8.44592"
"196000","45745","3","1","294.696","257.724","9.19574"
"196031","45745","1","1","294.696","257.724","59.0255"
"196032","45745","3","0","836.696","199.723","59.4094"
"196045","45745","1","0","836.696","199.723","68.5392"
"196046","45745","2","1","129.696","199.723","68.9391"
"196047","45745","3","0","494.394","216.654","69.305"
"196061","45745","1","0","494.394","216.654","92.7292"
"196062","45745","3","0","521.394","224.654","94.2289"
"196075","45745","1","0","521.394","224.654","106.074"
"196076","45745","3","0","575.394","226.654","107.974"
"196077","45745","1","0","575.394","226.654","108.023"
"196078","45745","3","0","575.394","226.654","108.14"
"196043","45746","1","0","652.519","390.72","66.7396"
"196044","45746","3","0","636.519","384.72","68.0893"
"196057","45746","1","0","636.519","384.72","86.8147"
"196058","45746","3","1","119.519","248.72","88.3983"
