# initial holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,cash,Share,,,,,,,,,,,
roused-nipper,Surfer13@bmm,4888,342,6224,6224,674,NULL,1008408,1008408,1008408,NULL,LIMIT,BUY,1,670,2018-08-14T00:45:19.872,2018-08-14T00:45:19.874
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008409,1008409,1008409,1008463,LIMIT,BUY,1,1140,2018-08-14T00:45:22.087,2018-08-14T00:46:53.215
roused-nipper,Surfer17@bmm,4892,342,6224,6224,674,NULL,1008410,1008376,1008376,1008376,CANCEL,BUY,1,540,2018-08-14T00:45:36.907,2018-08-14T00:45:36.911
roused-nipper,Surfer17@bmm,4892,342,6224,6224,674,NULL,1008411,1008376,1008376,1008411,CANCEL,BUY,1,540,2018-08-14T00:45:37.156,2018-08-14T00:45:37.160
roused-nipper,Surfer4@bmm,4879,342,6224,6224,674,NULL,1008412,1008412,1008412,1008413,LIMIT,BUY,1,1200,2018-08-14T00:45:39.050,2018-08-14T00:45:42.629
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008413,1008413,1008413,1008412,LIMIT,SELL,1,1200,2018-08-14T00:45:42.624,2018-08-14T00:45:42.629
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008414,1008374,1008374,1008374,CANCEL,BUY,1,1020,2018-08-14T00:45:45.681,2018-08-14T00:45:45.685
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008415,1008379,1008379,1008379,CANCEL,BUY,1,1050,2018-08-14T00:45:46.367,2018-08-14T00:45:46.371
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008416,1008416,1008416,1008520,LIMIT,SELL,1,1270,2018-08-14T00:45:46.800,2018-08-14T00:48:38.002
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008417,1008385,1008385,1008385,CANCEL,BUY,1,1100,2018-08-14T00:45:47.744,2018-08-14T00:45:47.748
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008418,1008394,1008394,1008394,CANCEL,SELL,1,1350,2018-08-14T00:45:50.678,2018-08-14T00:45:50.682
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008419,1008393,1008393,1008393,CANCEL,SELL,1,1290,2018-08-14T00:45:53.836,2018-08-14T00:45:53.840
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008420,1008420,1008420,1008472,LIMIT,SELL,1,1270,2018-08-14T00:45:56.808,2018-08-14T00:47:02.096
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008421,1008421,1008421,1008440,LIMIT,BUY,1,1170,2018-08-14T00:45:57.062,2018-08-14T00:46:32.632
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008422,1008406,1008406,1008406,CANCEL,BUY,1,1130,2018-08-14T00:45:58.488,2018-08-14T00:45:58.492
