Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008866,1008855,1008855,1008855,CANCEL,SELL,1,1440,2018-08-14T01:09:17.253,2018-08-14T01:09:17.257
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008867,1008867,1008867,1008941,LIMIT,SELL,1,1430,2018-08-14T01:09:17.573,2018-08-14T01:11:59.122
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008868,1008868,1008868,1008877,LIMIT,SELL,1,1350,2018-08-14T01:09:23.663,2018-08-14T01:09:55.380
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008869,1008869,1008869,1008871,LIMIT,SELL,1,1340,2018-08-14T01:09:27.185,2018-08-14T01:09:34.514
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008870,1008870,1008870,1008901,LIMIT,SELL,1,1330,2018-08-14T01:09:31.175,2018-08-14T01:10:39.481
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008871,1008869,1008869,1008869,CANCEL,SELL,1,1340,2018-08-14T01:09:34.510,2018-08-14T01:09:34.514
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008872,1008872,1008872,NULL,LIMIT,SELL,1,1320,2018-08-14T01:09:36.029,2018-08-14T01:09:36.031
roused-nipper,Surfer20@bmm,4895,344,6226,6226,676,NULL,1008873,1008873,1008873,1008875,LIMIT,BUY,1,1290,2018-08-14T01:09:37.632,2018-08-14T01:09:44.764
roused-nipper,Surfer17@bmm,4892,344,6226,6226,676,NULL,1008874,1008874,1008874,1008881,LIMIT,BUY,1,1300,2018-08-14T01:09:41.571,2018-08-14T01:10:09.409
roused-nipper,Surfer20@bmm,4895,344,6226,6226,676,NULL,1008875,1008873,1008873,1008873,CANCEL,BUY,1,1290,2018-08-14T01:09:44.760,2018-08-14T01:09:44.764
roused-nipper,Surfer8@bmm,4883,344,6226,6226,676,NULL,1008876,1008876,1008876,1008894,LIMIT,SELL,1,1310,2018-08-14T01:09:50.267,2018-08-14T01:10:34.501
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008877,1008868,1008868,1008868,CANCEL,SELL,1,1350,2018-08-14T01:09:55.376,2018-08-14T01:09:55.379
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008878,1008859,1008859,1008859,CANCEL,BUY,1,1270,2018-08-14T01:09:55.434,2018-08-14T01:09:55.438
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008879,1008879,1008879,NULL,LIMIT,SELL,1,1310,2018-08-14T01:09:57.648,2018-08-14T01:09:57.650
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008880,1008862,1008862,1008862,CANCEL,BUY,1,1270,2018-08-14T01:10:06.678,2018-08-14T01:10:06.686
roused-nipper,Surfer12@bmm,4887,344,6226,6226,676,NULL,1008881,1008881,1008881,1008874,LIMIT,SELL,1,1300,2018-08-14T01:10:09.400,2018-08-14T01:10:09.409
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008882,1008852,1008852,1008852,CANCEL,BUY,1,800,2018-08-14T01:10:12.688,2018-08-14T01:10:12.692
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008883,1008852,1008852,1008883,CANCEL,BUY,1,800,2018-08-14T01:10:12.893,2018-08-14T01:10:12.897
roused-nipper,Surfer6@bmm,4881,344,6226,6226,676,NULL,1008884,1008884,1008884,1008951,LIMIT,SELL,1,1310,2018-08-14T01:10:13.297,2018-08-14T01:12:19.590
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008885,1008885,1008885,1008899,LIMIT,BUY,1,1280,2018-08-14T01:10:13.816,2018-08-14T01:10:36.218
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008886,1008851,1008851,1008851,CANCEL,BUY,1,800,2018-08-14T01:10:13.977,2018-08-14T01:10:13.981
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008887,1008851,1008851,1008887,CANCEL,BUY,1,800,2018-08-14T01:10:14.151,2018-08-14T01:10:14.155
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008888,1008850,1008850,1008850,CANCEL,BUY,1,800,2018-08-14T01:10:14.347,2018-08-14T01:10:14.351
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008889,1008850,1008850,1008889,CANCEL,BUY,1,800,2018-08-14T01:10:14.551,2018-08-14T01:10:14.555
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008890,1008849,1008849,1008849,CANCEL,BUY,1,800,2018-08-14T01:10:14.985,2018-08-14T01:10:14.989
roused-nipper,Surfer6@bmm,4881,344,6226,6226,676,NULL,1008891,1008860,1008860,1008860,CANCEL,SELL,1,1430,2018-08-14T01:10:15.839,2018-08-14T01:10:15.843
roused-nipper,Surfer6@bmm,4881,344,6226,6226,676,NULL,1008892,1008892,1008892,1008940,LIMIT,BUY,1,1280,2018-08-14T01:10:31.191,2018-08-14T01:11:58.651
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008893,1008893,1008893,1008895,LIMIT,BUY,1,1300,2018-08-14T01:10:32.447,2018-08-14T01:10:34.977
