"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"242928","57989","3","0","812.798","383.226","54.3447"
"242914","57990","1","0","750.637","295.619","32.52"
"242915","57990","3","1","232.637","304.619","33.0199"
"242900","57991","1","0","687.511","271.269","6.24646"
"242901","57991","3","0","667.511","160.269","7.04627"
"242916","57991","1","0","667.511","160.269","34.6355"
"242917","57991","3","1","170.511","175.269","37.8187"
"242922","57991","1","1","170.511","175.269","44.5651"
"242923","57991","3","0","750.511","28.2691","45.049"
"242933","57991","1","0","750.511","28.2691","62.5087"
"242934","57991","3","0","802.511","32.2691","64.4742"
"242908","57992","1","0","775.62","408.784","20.1591"
"242909","57992","3","0","757.62","400.784","21.1928"
"242924","57992","1","0","757.62","400.784","49.8138"
"242925","57992","3","1","108.62","363.784","50.6796"
"242891","57993","1","0","584.235","146.233","1.76556"
"242892","57993","2","0","490.235","27.2327","2.63135"
"242893","57993","3","0","498.868","36.8612","2.64935"
"242929","57993","1","0","498.868","36.8612","55.2945"
"242930","57993","3","0","598.868","93.8612","59.5934"
"242896","57994","1","0","657.807","205.821","4.11499"
"242897","57994","3","0","805.807","21.8212","4.4989"
"242918","57994","1","0","805.807","21.8212","38.4846"
"242919","57994","3","0","809.807","11.8212","40.5001"
"242920","57994","1","0","809.807","11.8212","41.8498"
"242921","57994","3","0","772.807","253.821","42.9995"
"242935","57994","1","0","772.807","253.821","64.7742"
"242936","57994","3","0","770.807","214.821","67.5735"
"242906","57995","1","0","608.268","373.505","12.4609"
"242907","57995","3","0","630.268","328.505","15.3102"
"242937","57995","1","0","630.268","328.505","67.8734"
"242938","57995","3","0","648.268","271.505","71.2546"
"242904","57996","1","0","858.421","172.358","8.44592"
"242905","57996","3","0","835.421","137.358","9.19574"
"242931","57996","1","0","835.421","137.358","61.0751"
"242932","57996","3","0","853.421","152.358","62.2428"
"242902","57997","1","0","858.655","196.879","7.59613"
"242903","57997","3","0","803.655","197.879","7.96204"
"242912","57997","1","0","803.655","197.879","30.5385"
"242913","57997","3","1","288.655","205.879","31.1703"
"242894","57998","1","0","759.083","113.44","3.21521"
"242895","57998","3","0","643.083","49.4398","3.76508"
"242910","57998","1","0","643.083","49.4398","25.3398"
"242911","57998","3","1","337.083","127.44","29.6547"
"242945","58000","1","0","761.015","103.834","9.19574"
"242946","58000","3","0","709.015","124.834","9.52966"
"242955","58000","1","0","709.015","124.834","24.256"
"242956","58000","3","1","211.015","104.834","24.6399"
"242985","58000","1","1","211.015","104.834","100.811"
"242986","58000","3","1","252.015","106.834","102.311"
"242943","58001","1","0","567.504","411.924","6.88232"
"242944","58001","3","0","517.504","405.924","7.13025"
"242953","58001","1","0","517.504","405.924","22.1406"
